config,exp,rep,name,pid,arrive,first,end,cpu,wait,sleep,response,turnaround,maxwait,dispatch,expire,preempt,nsleep,demote,promote,prio,q0,q1,q2
rr,aging,2,stream,70,680484,700120,950250,100031,169734,0,19636,269766,20023,11,0,0,0,0,0,0,100031,0,0
rr,aging,2,stream,71,850853,854292,1054746,100041,103852,0,3439,203893,10209,11,0,0,0,0,0,0,100041,0,0
rr,aging,2,stream,72,960854,960858,1155851,100033,94963,0,4,194997,10022,11,0,0,0,0,0,0,100033,0,0
rr,aging,2,stream,73,1055316,1060577,1255887,100028,100542,0,5261,200571,10011,11,0,0,0,0,0,0,100028,0,0
rr,aging,2,stream,74,1161255,1161259,1357176,100034,95887,0,4,195921,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,2,stream,75,1256457,1260794,1457212,100028,100725,0,4337,200755,10011,11,0,0,0,0,0,0,100028,0,0
rr,aging,2,stream,76,1361471,1361475,1558501,100034,96994,0,4,197030,10023,11,0,0,0,0,0,0,100034,0,0
rr,aging,2,stream,77,1457782,1461011,1658550,100042,100726,0,3229,200768,10011,11,0,0,0,0,0,0,100042,0,0
rr,aging,2,stream,78,1561689,1561693,1759839,100034,98116,0,4,198150,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,2,stream,79,1659121,1661228,1859875,100028,100726,0,2107,200754,10012,11,0,0,0,0,0,0,100028,0,0
rr,aging,2,stream,80,1761906,1761910,1961165,100034,99224,0,4,199259,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,2,stream,81,1860445,1861445,2061214,100042,100726,0,1000,200769,10011,11,0,0,0,0,0,0,100042,0,0
rr,aging,2,stream,82,1962123,1962126,2112087,100032,49931,0,3,149964,10022,12,0,0,0,0,0,0,100032,0,0
rr,aging,3,stream,85,373,9240,289472,100031,189067,0,8867,289099,20022,10,0,0,0,0,0,0,100031,0,0
rr,aging,3,stream,86,747,19251,319434,100030,218656,0,18504,318687,20022,11,0,0,0,0,0,0,100030,0,0
rr,aging,3,stream,87,290112,299554,569841,100031,179697,0,9442,279729,20088,10,0,0,0,0,0,0,100031,0,0
rr,aging,3,stream,88,340050,359685,659869,100031,219788,0,19635,319819,20022,11,0,0,0,0,0,0,100031,0,0
rr,aging,3,stream,89,570482,579923,850211,100031,179698,0,9441,279729,20088,10,0,0,0,0,0,0,100031,0,0
rr,aging,3,long,84,0,751,854290,300037,554253,0,751,854290,20088,31,0,0,0,0,0,0,300037,0,0
rr,aging,3,stream,90,680484,700120,950250,100031,169734,0,19636,269766,20022,11,0,0,0,0,0,0,100031,0,0
rr,aging,3,stream,91,850852,854291,1054746,100041,103852,0,3439,203894,10209,11,0,0,0,0,0,0,100041,0,0
rr,aging,3,stream,92,960854,960857,1155851,100033,94963,0,3,194997,10022,11,0,0,0,0,0,0,100033,0,0
